feature,importance,importance_pct,cumulative_pct
Sale_Year,1468,9.86,9.86
Year_Made,1342,9.02,18.88
Machine_Age,1282,8.62,27.5
Unnamed__0,996,6.69,34.19
Weight_Tons,512,3.44,37.63
Horsepower,441,2.96,40.59
Enclosure_EROPS_w_AC,348,2.34,42.93
Sale_Month,289,1.94,44.87
MachineHours_CurrentMeter,212,1.42,46.29
Secondary_Description_Unknown,117,0.79,47.08
Enclosure_OROPS,115,0.77,47.85
Secondary_Description_G,85,0.57,48.42
Product_Group_SSL,84,0.56,48.98
Model_Descriptor_L,83,0.56,49.54
Has_Hours,68,0.46,50.0
Ripper_None_or_Unspecified,67,0.45,50.45
Secondary_Description_H,67,0.45,50.9
Machine_Size_Large,66,0.44,51.34
Model_Series_Unknown,65,0.44,51.78
Base_Model_966,65,0.44,52.22
Machine_Size_Unknown,65,0.44,52.66
Model_Descriptor_Unknown,63,0.42,53.08
Secondary_Description_E,59,0.4,53.48
Secondary_Description_A,58,0.39,53.87
Driver_System_Two_Wheel_Drive,58,0.39,54.26
State_of_Usage_Texas,55,0.37,54.63
Secondary_Description_B,55,0.37,55.0
Product_Group_MG,54,0.36,55.36
Product_Class_Description_Type_E_-_120_0_to_135_0_Horsepower,53,0.36,55.72
Usage_Band_Low,52,0.35,56.07
Digging_Depth_Ft,52,0.35,56.42
Base_Model_950,52,0.35,56.77
Secondary_Description_R,49,0.33,57.1
Product_Class_Description_Type_F_-_0_0_to_701_0_Lb_Operating_Capacity,49,0.33,57.43
Product_Class_Description_Type_D_-_260_0_+_Horsepower,48,0.32,57.75
Secondary_Description_C,45,0.3,58.05
Version_Standard,44,0.3,58.35
Control_Unknown,42,0.28,58.63
Base_Model_D6,42,0.28,58.91
Secondary_Description_N,42,0.28,59.19
State_of_Usage_Florida,42,0.28,59.47
Product_Class_Description_Type_F_-_2701_0+_Lb_Operating_Capacity,39,0.26,59.73
Product_Class_Description_Type_E_-_60_0_to_80_0_Horsepower,38,0.26,59.99
Product_Class_Description_Type_F_-_701_0_to_976_0_Lb_Operating_Capacity,37,0.25,60.24
Ripper_Unknown,36,0.24,60.48
Base_Model_570,35,0.24,60.72
Coupler_None_or_Unspecified,34,0.23,60.95
Base_Model_T500,34,0.23,61.18
Product_Class_Description_Type_F_-_1251_0_to_1351_0_Lb_Operating_Capacity,34,0.23,61.41
Product_Class_Description_Type_F_-_1351_0_to_1601_0_Lb_Operating_Capacity,32,0.22,61.63
Scarifier_Yes,31,0.21,61.84
State_of_Usage_California,31,0.21,62.05
Model_Description_D8H,30,0.2,62.25
Machine_Size_Large_/_Medium,30,0.2,62.45
Screen_Size_Unknown,30,0.2,62.65
Product_Class_Description_Type_F_-_2201_0_to_2701_0_Lb_Operating_Capacity,28,0.19,62.84
Sale_Quarter,28,0.19,63.03
Usage_Band_Medium,28,0.19,63.22
Model_Descriptor_6,27,0.18,63.4
Secondary_Description_Z,27,0.18,63.58
Secondary_Description_BL,26,0.17,63.75
Base_Model_ZX200,26,0.17,63.92
Product_Class_Description_Type_F_-_1751_0_to_2201_0_Lb_Operating_Capacity,26,0.17,64.09
Model_Description_T300,25,0.17,64.26
Model_Description_544E,25,0.17,64.43
Product_Group_Description_USA,25,0.17,64.6
Model_Description_570,25,0.17,64.77
Base_Model_D20,25,0.17,64.94
Extra_features_Unknown,25,0.17,65.11
Base_Model_BD2,25,0.17,65.28
Model_Description_988B,25,0.17,65.45
Base_Model_420,25,0.17,65.62
Machine_Size_Medium,25,0.17,65.79
Secondary_Description_J,25,0.17,65.96
Product_Class_Description_Type_A_-_45_0_to_130_0_Horsepower,24,0.16,66.12
Base_Model_320,24,0.16,66.28
Secondary_Description_L,24,0.16,66.44
Base_Model_PC60,24,0.16,66.6
Secondary_Description_T,24,0.16,66.76
Model_Description_R200LC,24,0.16,66.92
Base_Model_TD25,24,0.16,67.08
Machine_Size_Mini,23,0.15,67.23
Model_Description_14G,23,0.15,67.38
Model_Description_988,23,0.15,67.53
Product_Class_Description_Type_B_-_Unidentified,22,0.15,67.68
Base_Model_120,22,0.15,67.83
State_of_Usage_Colorado,22,0.15,67.98
Base_Model_D21,22,0.15,68.13
Base_Model_D8,22,0.15,68.28
Base_Model_644,22,0.15,68.43
State_of_Usage_Georgia,21,0.14,68.57
Base_Model_D10,21,0.14,68.71
Driver_System_Unknown,21,0.14,68.85
Product_Group_Description_France,21,0.14,68.99
Model_Descriptor_7,20,0.13,69.12
Model_Description_PC60-7,20,0.13,69.25
